
[Name]
inlet

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-7.93734133e-01, 5.81403673e-01, -1.30594417e-01, 8.20044503e-02
-7.93734133e-01, -8.84686947e-01, 1.63461536e-01, 5.33287144e+00
-7.93734133e-01, 3.38623762e-01, -1.65513068e-01, 6.08571112e-01
-7.93734133e-01, -2.72055060e-01, 8.35804194e-02, 4.38857031e+00
-7.93734133e-01, -2.90728033e-01, 1.30650640e-01, 4.49040842e+00
-7.93734133e-01, -2.36779124e-01, 1.26475245e-01, 4.23554087e+00
-7.93734133e-01, -3.24839473e-01, 8.33333358e-02, 4.60604239e+00
-7.93734133e-01, -3.48028421e-01, 1.25000000e-01, 4.70383787e+00
-7.93734133e-01, -3.24839473e-01, 1.66666672e-01, 4.63856792e+00
-7.93734133e-01, 4.65854496e-01, 2.20912248e-02, 2.18856856e-01
-7.93734133e-01, -5.13784170e-01, 1.25857025e-01, 5.12128210e+00
-7.93734133e-01, -5.43478131e-01, 8.33333358e-02, 5.14985847e+00
-7.93734133e-01, -5.68922222e-01, 1.23058937e-01, 5.19135523e+00
-7.93734133e-01, -6.19623125e-01, 1.24836139e-01, 5.23908043e+00
-7.93734133e-01, -5.97508788e-01, 1.66572586e-01, 5.24392653e+00
-7.93734133e-01, -6.07435644e-01, 8.27869549e-02, 5.21798325e+00
-7.93734133e-01, 2.97232509e-01, -1.65611088e-01, 7.77084827e-01
-7.93734133e-01, 2.60140628e-01, -1.30102038e-01, 9.35365677e-01
-7.93734133e-01, -1.05165327e+00, -1.00475051e-01, 5.31698895e+00
-7.93734133e-01, -1.06605768e+00, -1.51442319e-01, 5.34847498e+00
-7.93734133e-01, -1.10498190e+00, -1.16987184e-01, 5.32841349e+00
-7.93734133e-01, 5.05047083e-01, 1.02847435e-01, 1.64826900e-01
-7.93734133e-01, 4.66950446e-01, 9.35745463e-02, 2.29333147e-01
-7.93734133e-01, -1.05349588e+00, 1.14908911e-01, 5.32348967e+00
-7.93734133e-01, -1.10469437e+00, 1.16367802e-01, 5.32912064e+00
-7.93734133e-01, -1.06502247e+00, 1.56049684e-01, 5.35467005e+00
-7.93734133e-01, -4.50722337e-01, -4.16666679e-02, 4.97841167e+00
-7.93734133e-01, -1.72454953e-01, -4.16666679e-02, 3.83307886e+00
-7.93734133e-01, -3.24839473e-01, 0.00000000e+00, 4.60249186e+00
-7.93734133e-01, -6.43495262e-01, 8.10010061e-02, 5.24462461e+00
-7.93734133e-01, 3.17825675e-01, -2.02205285e-01, 7.19872355e-01
-7.93734133e-01, -4.65720892e-02, 0.00000000e+00, 2.99472713e+00
-7.93734133e-01, 1.05812430e-01, -4.16666679e-02, 1.83931565e+00
-7.93734133e-01, 2.31695294e-01, 0.00000000e+00, 1.05744994e+00
-7.93734133e-01, 2.58203536e-01, 4.24407683e-02, 9.25309181e-01
-7.93734133e-01, -2.09520385e-02, 4.24132645e-02, 2.81361604e+00
-7.93734133e-01, -1.84436571e-02, -1.30952388e-01, 2.80958247e+00
-7.93734133e-01, 3.95582914e-02, -1.25000000e-01, 2.37499857e+00
-7.93734133e-01, 1.01580173e-02, -1.66666672e-01, 2.59405828e+00
-7.93734133e-01, -9.15696919e-02, 8.33333358e-02, 3.31821895e+00
-7.93734133e-01, -3.69837075e-01, 8.33333358e-02, 4.77333927e+00
-7.93734133e-01, 1.86697692e-01, 8.33333358e-02, 1.32877111e+00
-7.93734133e-01, -2.99219429e-01, 4.24132645e-02, 4.50466347e+00
-7.93734133e-01, -1.09107077e+00, -4.10069758e-03, 5.29701090e+00
-7.93734133e-01, -2.68109381e-01, -1.66666672e-01, 4.39394522e+00
-7.93734133e-01, -2.96711028e-01, -1.30952388e-01, 4.51466513e+00
-7.93734133e-01, -2.38709092e-01, -1.25000000e-01, 4.24303246e+00
-7.93734133e-01, -5.28222322e-01, 4.25294191e-02, 5.12254763e+00
-7.93734133e-01, 1.87801927e-01, 1.66666672e-01, 1.34330237e+00
-7.93734133e-01, -2.53430307e-01, 4.29500341e-02, 4.28427410e+00
-7.93734133e-01, -5.16976476e-01, -1.25000000e-01, 5.12795258e+00
-7.93734133e-01, -5.46376765e-01, -1.66666672e-01, 5.18809700e+00
-7.93734133e-01, -5.74016392e-01, -1.30975083e-01, 5.20166349e+00
-7.93734133e-01, 2.48370767e-02, 4.29500341e-02, 2.44819427e+00
-7.93734133e-01, 6.17073536e-01, -1.59188032e-01, 5.71319163e-02
-7.93734133e-01, 3.03427875e-01, 4.20656279e-02, 7.05688238e-01
-7.93734133e-01, -5.54244399e-01, -8.33333358e-02, 5.16559362e+00
-7.93734133e-01, -9.04654562e-02, 1.66666672e-01, 3.33520818e+00
-7.93734133e-01, -9.01274443e-01, 2.05973163e-01, 5.38792849e+00
-7.93734133e-01, -2.75977045e-01, -8.33333358e-02, 4.40755081e+00
-7.93734133e-01, -6.03106856e-01, -1.66666672e-01, 5.24753714e+00
-7.93734133e-01, -6.19561732e-01, -1.25158906e-01, 5.24033165e+00
-7.93734133e-01, 2.29033828e-03, -8.33333358e-02, 2.63590002e+00
-7.93734133e-01, 2.80557722e-01, -8.33333358e-02, 8.21390808e-01
-7.93734133e-01, 5.43089747e-01, -1.02564104e-01, 1.14133865e-01
-7.93734133e-01, -3.68732840e-01, 1.66666672e-01, 4.79728365e+00
-7.93734133e-01, -3.24839473e-01, -1.66666672e-01, 4.64802122e+00
-7.93734133e-01, -3.48028421e-01, -1.25000000e-01, 4.70795250e+00
-7.93734133e-01, -9.82618868e-01, 7.63221085e-02, 5.30314779e+00
