unique_id,ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
H1,2024-01-01 00:00:20.000,0.008525587,0.008123259,0.007929865,0.008489175,0.008547194
H1,2024-01-01 00:00:20.001,0.008236706,0.008481193,0.008009292,0.008291105,0.008280754
H1,2024-01-01 00:00:20.002,0.0076589454,0.009197064,0.00816815,0.007894959,0.00774787
H1,2024-01-01 00:00:20.003,0.008579101,0.009862956,0.008958552,0.009040181,0.008637711
H1,2024-01-01 00:00:20.004,0.010997173,0.010478867,0.010380499,0.011726765,0.010950275
H1,2024-01-01 00:00:20.005,0.009547435,0.008588716,0.008552229,0.009585066,0.009468503
H1,2024-01-01 00:00:20.006,0.004229896,0.0041925013,0.0034737485,0.0026150774,0.0041923933
H1,2024-01-01 00:00:20.007,0.0044909045,0.0051086843,0.0045302166,0.003391467,0.0046999827
H1,2024-01-01 00:00:20.008,0.010330491,0.011337254,0.011721633,0.011914231,0.010991277
H1,2024-01-01 00:00:20.009,0.010907918,0.01151114,0.012108587,0.013251299,0.011647083
H1,2024-01-01 00:00:20.010,0.006223198,0.005630333,0.0056910664,0.007402666,0.006667413
H1,2024-01-01 00:00:20.011,0.0047851354,0.003955608,0.00392545,0.005241044,0.0047635883
H1,2024-01-01 00:00:20.012,0.0065937266,0.006486967,0.0068117417,0.00676642,0.0059356205
H1,2024-01-01 00:00:20.013,0.008118093,0.008626156,0.009478707,0.008532422,0.007724751
H1,2024-01-01 00:00:20.014,0.00935824,0.010373183,0.011926326,0.0105390325,0.010130972
H1,2024-01-01 00:00:20.015,0.0070290715,0.0070627034,0.0073732007,0.0052625425,0.0068304986
H1,2024-01-01 00:00:20.016,0.0011305753,-0.001305284,-0.00418067,-0.0072970614,-0.0021767244
H1,2024-01-01 00:00:20.017,0.0033314596,0.0007397784,-0.0024925135,-0.004672967,0.00038916618
H1,2024-01-01 00:00:20.018,0.013631722,0.013197895,0.012437679,0.013134811,0.014528152
H1,2024-01-01 00:00:20.019,0.013114972,0.013424145,0.013574127,0.015129093,0.014567122
H1,2024-01-01 00:00:20.020,0.0017812103,0.0014185198,0.0009168349,0.0013098717,0.0005060807
H1,2024-01-01 00:00:20.021,-0.0024761073,-0.0024754144,-0.0028612828,-0.0036212169,-0.0041219145
H1,2024-01-01 00:00:20.022,0.00034299865,0.0017423518,0.0022397693,0.00033583492,0.0006831512
H1,2024-01-01 00:00:20.023,0.004638836,0.006247878,0.007910028,0.0056817234,0.0062243473
H1,2024-01-01 00:00:20.024,0.010411404,0.011041159,0.014149487,0.012416437,0.012501683
H1,2024-01-01 00:00:20.025,0.0056914687,0.005141467,0.008342981,0.0064147897,0.007348448
H1,2024-01-01 00:00:20.026,-0.009520981,-0.011451194,-0.0095094815,-0.012323227,-0.009235358
H1,2024-01-01 00:00:20.027,-0.006219223,-0.008704852,-0.0076000206,-0.009232335,-0.006739249
