unique_id,ds,RNN,RNN-lo-90,RNN-lo-80,RNN-hi-80,RNN-hi-90
H1,8000,-0.028122272,-0.027560798,-0.027661845,-0.024357125,-0.022508154
H1,8001,-0.02365958,-0.033320893,-0.026578488,-0.020770883,-0.019967733
H1,8002,-0.058607515,-0.065746814,-0.06675718,-0.040728122,-0.05095207
H1,8003,-0.027623406,-0.037896395,-0.022968018,-0.026022078,-0.025446652
H1,8004,-0.05458256,-0.05031623,-0.047828063,-0.041270867,-0.039775565
H1,8005,-0.034426518,-0.037346464,-0.03655056,-0.036015064,-0.037593685
H1,8006,-0.056810606,-0.06872258,-0.063946545,-0.04617392,-0.051817395
H1,8007,-0.04532335,-0.054046523,-0.049926925,-0.048176773,-0.04892002
H1,8008,-0.05269072,-0.060786672,-0.059738446,-0.04138463,-0.045177832
H1,8009,-0.022973461,-0.01847812,-0.03392099,-0.021100756,-0.019137716
H1,8010,-0.03301804,-0.047493685,-0.038789157,-0.03362695,-0.03038598
H1,8011,-0.058174495,-0.06674946,-0.058157552,-0.031358678,-0.051033746
H1,8012,-0.024338339,-0.027087228,-0.042942103,-0.0068305656,-0.011502279
H1,8013,-0.036414944,-0.060620125,-0.045913137,-0.035305534,-0.043399394
H1,8014,-0.03633002,-0.035007842,-0.035503663,-0.0299364,-0.03009967
H1,8015,-0.052632805,-0.059302215,-0.057071988,-0.05153337,-0.043402802
H1,8016,-0.033181943,-0.032183938,-0.034734983,-0.02770104,-0.02555488
H1,8017,-0.037457004,-0.052387446,-0.046684776,-0.033161674,-0.03631042
H1,8018,-0.053677376,-0.073524036,-0.062160723,-0.055965167,-0.058090985
H1,8019,-0.038146716,-0.04612192,-0.0458186,-0.042865105,-0.033529475
H1,8020,-0.03355534,-0.04248341,-0.04037485,-0.030973589,-0.03319881
H1,8021,-0.030052852,-0.01674607,-0.025278201,-0.034526076,-0.018261844
H1,8022,-0.03453017,-0.051682472,-0.045310255,-0.049951542,-0.04607601
H1,8023,-0.030374328,-0.05016874,-0.034764726,-0.026525628,-0.035848394
H1,8024,-0.033414446,-0.032392077,-0.039876238,-0.021522371,-0.032182813
H1,8025,-0.04891022,-0.061681345,-0.05421417,-0.039176192,-0.04587734
H1,8026,-0.060919292,-0.06899409,-0.070567034,-0.046671137,-0.055020552
H1,8027,-0.066507325,-0.07109372,-0.078544766,-0.06715299,-0.06280936
H1,8028,-0.0306941,-0.041447442,-0.03750286,-0.038693685,-0.022822762
H1,8029,-0.04133578,-0.04843511,-0.05143415,-0.040942926,-0.03761202
H1,8030,-0.026366364,-0.033628132,-0.033262193,-0.030854346,-0.035248835
H1,8031,-0.03480582,-0.055474725,-0.04451427,-0.030136568,-0.035520874
H1,8032,-0.05019506,-0.05175441,-0.04794712,-0.029615963,-0.03803362
H1,8033,-0.050102793,-0.056033812,-0.046835706,-0.059920017,-0.04923204
H1,8034,-0.054880496,-0.055963814,-0.054517694,-0.049222473,-0.048621446
H1,8035,-0.05842426,-0.061599717,-0.055450566,-0.05248229,-0.047624886
H1,8036,-0.04712155,-0.046277013,-0.043973908,-0.03351461,-0.044172797
H1,8037,-0.04064132,-0.049025852,-0.042939723,-0.040603805,-0.039044734
H1,8038,-0.028740726,-0.044576325,-0.032670967,-0.032378122,-0.03859051
H1,8039,-0.056578245,-0.060085617,-0.05066622,-0.060183164,-0.05248746
H1,8040,-0.037205845,-0.042891763,-0.042468913,-0.03004582,-0.03056612
H1,8041,-0.030612076,-0.04079772,-0.036265563,-0.035964396,-0.033245176
H1,8042,-0.040543858,-0.0439506,-0.043926597,-0.038796626,-0.03915383
H1,8043,-0.052510243,-0.050847366,-0.04834757,-0.048568327,-0.04798867
H1,8044,-0.024210393,-0.029776614,-0.043056957,-0.019531304,-0.027397458
H1,8045,-0.050748654,-0.04233355,-0.052986898,-0.04235049,-0.043590736
H1,8046,-0.02880845,-0.033109214,-0.029798836,-0.028009856,-0.028625006
H1,8047,-0.0351212,-0.038678512,-0.03723722,-0.03578568,-0.0310591
H1,8048,-0.04119042,-0.0468646,-0.045813326,-0.028546728,-0.038638473
H1,8049,-0.048907664,-0.05162749,-0.04247636,-0.041052833,-0.040182937
H1,8050,-0.019299973,-0.025992615,-0.020720895,-0.013408971,-0.019850869
H1,8051,-0.033389956,-0.03647212,-0.029967234,-0.032435767,-0.029038666
H1,8052,-0.045986686,-0.043789342,-0.043052644,-0.03472189,-0.03734819
H1,8053,-0.033279452,-0.05392655,-0.025505595,-0.027148288,-0.025777768
H1,8054,-0.027046725,-0.033636723,-0.028697232,-0.032021753,-0.025984194
H1,8055,-0.04523909,-0.050685737,-0.04722888,-0.03921239,-0.039314896
H1,8056,-0.0485051,-0.055540808,-0.04642093,-0.035678353,-0.04817319
H1,8057,-0.05333789,-0.056845684,-0.0529073,-0.039904963,-0.047070127
H1,8058,-0.049310263,-0.055862598,-0.046123214,-0.04797371,-0.046405386
H1,8059,-0.02690805,-0.030703722,-0.035507705,-0.026821176,-0.032495502
H1,8060,-0.039801084,-0.049157873,-0.04224922,-0.038597923,-0.043560937
H1,8061,-0.04609688,-0.05356288,-0.038905904,-0.048550628,-0.03425443
H1,8062,-0.037345093,-0.039711673,-0.038494285,-0.03794378,-0.033657685
H1,8063,-0.043861467,-0.04738411,-0.04781857,-0.041994907,-0.038223166
H1,8064,-0.03181807,-0.03903406,-0.028918711,-0.027358979,-0.03235853
H1,8065,-0.05151411,-0.06513294,-0.058680072,-0.054866396,-0.048301514
H1,8066,-0.037930634,-0.033147693,-0.041510437,-0.03781168,-0.029662034
H1,8067,-0.029858839,-0.046271414,-0.043116316,-0.030098414,-0.031081127
H1,8068,-0.04170306,-0.04460167,-0.044540163,-0.041438058,-0.03892861
H1,8069,-0.042419117,-0.052477427,-0.03821589,-0.038219027,-0.04170178
H1,8070,-0.032974146,-0.043685406,-0.03694699,-0.038241975,-0.032459635
H1,8071,-0.036971763,-0.045395136,-0.035230905,-0.032580845,-0.034049448
H1,8072,-0.040645048,-0.04679006,-0.05005676,-0.04535998,-0.036536846
H1,8073,-0.040392753,-0.042105626,-0.042357605,-0.042557765,-0.031716544
H1,8074,-0.04602565,-0.043571033,-0.050562777,-0.023850096,-0.03854087
H1,8075,-0.024417793,-0.010324385,-0.030386312,-0.024722368,-0.01604132
H1,8076,-0.024825983,-0.02611191,-0.028029548,-0.013207198,-0.022393899
H1,8077,-0.03183128,-0.031097567,-0.028973725,-0.03265817,-0.028577136
H1,8078,-0.029785004,-0.019879457,-0.03973537,-0.03330253,-0.013144684
H1,8079,-0.024410471,-0.030483266,-0.025890613,-0.02434664,-0.023492876
H1,8080,-0.024454301,-0.025572164,-0.019758917,-0.01802679,-0.019556925
H1,8081,-0.018550485,-0.03539638,-0.022055289,-0.017700527,-0.017338688
H1,8082,-0.036110107,-0.03975434,-0.039334252,-0.029230954,-0.03272583
H1,8083,-0.030827058,-0.029578714,-0.033066522,-0.029670738,-0.02984132
H1,8084,-0.030362299,-0.04261218,-0.028966052,-0.025729561,-0.029830022
H1,8085,-0.026837556,-0.031894628,-0.032956842,-0.023149,-0.022896882
H1,8086,-0.018649569,-0.021434108,-0.023859298,-0.011652636,-0.015628627
H1,8087,-0.007603012,-0.0035422368,-0.004058797,-0.002940804,-0.0013148705
H1,8088,-0.027698502,-0.019383134,-0.024094531,-0.02848594,-0.017993998
H1,8089,-0.013439383,-0.012284781,-0.01947158,-0.0052242167,-0.009481359
H1,8090,-0.02301126,-0.036196463,-0.031127857,-0.029578816,-0.017863557
H1,8091,-0.031844098,-0.03658973,-0.037637513,-0.03771618,-0.03365615
H1,8092,-0.034853667,-0.03909936,-0.038357247,-0.040534317,-0.028933557
H1,8093,-0.037597023,-0.038820572,-0.03627301,-0.025249626,-0.025799375
H1,8094,-0.053521667,-0.05752778,-0.057790168,-0.043149494,-0.051407527
H1,8095,-0.024806516,-0.033662476,-0.036265053,-0.03879981,-0.029590152
H1,8096,-0.015545541,-0.023201132,-0.014641756,-0.0061162375,-0.015824564
H1,8097,-0.01600294,-0.028044524,-0.02938169,-0.005178025,-0.011633973
H1,8098,-0.023945387,-0.033653766,-0.022991154,-0.008425502,-0.027731419
H1,8099,-0.026336713,-0.035343222,-0.02402106,-0.024595888,-0.0251404
H1,8100,-0.02091533,-0.016237093,-0.017026309,-0.008161397,-0.012420479
H1,8101,-0.034497887,-0.03729802,-0.04353751,-0.02972549,-0.034628633
H1,8102,-0.015855022,-0.026687719,-0.016403297,-0.013980703,-0.01608307
H1,8103,-0.025714137,-0.029451983,-0.030717699,-0.03026799,-0.019139126
H1,8104,-0.017994076,-0.019276658,-0.03134315,-0.025685366,-0.022770636
H1,8105,5.2326825e-05,-0.0022754825,-0.01348201,-0.004883212,0.0017191039
H1,8106,-0.027042558,-0.028479338,-0.020812284,-0.018520875,-0.025380377
H1,8107,-0.02276491,-0.039947025,-0.022462558,-0.025396569,-0.01590412
H1,8108,-0.010931318,-0.01576461,-0.018658416,-0.0154485945,-0.008091757
H1,8109,-0.015311595,-0.0189853,-0.004484971,-0.0037270158,-0.012655608
H1,8110,-0.014118992,-0.017185984,-0.022775793,-0.0060582925,-0.0062266886
H1,8111,-0.0073543945,-0.0162332,-0.016484218,-0.008481446,-0.0078665735
H1,8112,-0.015035834,-0.023516046,-0.016198898,-0.012338574,-0.01280102
H1,8113,-0.032854885,-0.036977515,-0.03493808,-0.0302016,-0.028240226
H1,8114,-0.0072642853,0.0020987492,-0.023828799,-0.010310788,-0.010084981
H1,8115,-0.013479269,-0.02854549,-0.00855345,-0.008039028,-0.013093199
H1,8116,-0.01787122,-0.01492817,-0.015407091,0.0033378738,-0.01229006
H1,8117,-0.0166953,-0.013950439,-0.020389602,-0.019265924,-0.013289673
H1,8118,-0.014423331,-0.0010914092,-0.016641635,-0.0022994445,-0.003160061
H1,8119,0.0076028174,0.012604719,0.005704798,0.010111633,0.015172086
H1,8120,-0.017668048,-0.016521381,-0.022252906,-0.014550161,-0.015590508
H1,8121,-0.0058054123,-0.010433436,-0.017329251,-0.004145921,0.00065817777
H1,8122,-0.00072315405,0.004111412,-0.010823293,0.015841503,0.008477667
H1,8123,-0.025930341,-0.024028119,-0.022700317,-0.02296596,-0.018528271
H1,8124,-0.0062182928,-0.00607144,-0.002543199,0.004206689,0.0024609598
H1,8125,-0.023265919,-0.01907773,-0.027022664,-0.017476914,-0.016053095
H1,8126,-0.008724873,-0.0048980853,-0.014036317,0.0016183202,-0.0056965183
H1,8127,-0.009470904,-0.007777214,-0.012931403,-0.012216955,-0.010607508
H1,8128,-0.013512922,-0.008836585,-0.0074856887,-0.008255049,-0.007721211
H1,8129,-0.005917377,-0.007059194,-0.00040841463,0.00085308996,-0.003755187
H1,8130,0.023068268,0.015289509,0.018064847,0.021754172,0.016174555
H1,8131,0.019988306,0.013461717,0.009746226,0.02158148,0.02645164
H1,8132,0.0054356717,0.008302067,-0.0010928535,0.026039796,0.017092118
H1,8133,0.0031315521,-0.014426996,-0.0131018525,0.0044221487,0.013706707
H1,8134,0.0094645545,-0.024627604,0.008432206,0.000135588,-0.008533739
H1,8135,0.016496543,0.02032447,0.030489324,0.02116567,0.029695282
H1,8136,-0.013173427,-0.0042292345,-0.011816576,-0.003516604,-0.012964999
H1,8137,-0.00895668,-0.00954003,-0.016359093,-0.0010196676,-0.006268342
H1,8138,-0.009451191,-0.01685238,-0.013703822,0.001808496,-0.008495894
H1,8139,0.01196008,0.01886053,0.00962654,0.013305009,0.019953907
H1,8140,0.006605923,0.0063255476,0.008056087,0.009323013,0.013585927
