
[Name]
parachute_model_surface

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
3.17499996e-03, -4.09076124e-01, 8.87591951e-03, -1.05423517e+01
3.17499996e-03, -2.25277394e-01, 8.84890035e-02, 5.68252707e+00
3.17499996e-03, -4.03281718e-01, 1.13857817e-02, -1.20516424e+01
-3.17499996e-03, -1.88820794e-01, 1.04280308e-01, 7.74348497e+00
3.17499996e-03, -1.88350603e-01, 1.04483977e-01, 7.27681494e+00
-3.17499996e-03, -4.03196752e-01, 1.14225857e-02, -7.06815338e+00
-3.17499996e-03, -1.54151529e-01, 1.19297430e-01, 9.95264530e+00
3.17499996e-03, -1.53905123e-01, 1.19404167e-01, 8.01867580e+00
-3.17499996e-03, -1.25884235e-01, 1.31541505e-01, 9.95622063e+00
3.17499996e-03, -1.25814766e-01, 1.31571606e-01, 6.88862991e+00
-7.84031545e-06, -4.13047671e-01, 7.15562189e-03, -9.68511772e+00
-3.17499996e-03, -4.05483663e-01, 1.04320049e-02, -4.43488264e+00
-3.17499996e-03, -1.06779076e-01, 1.39816985e-01, 1.05732098e+01
3.17499996e-03, -1.04196802e-01, 1.40935495e-01, 6.08896875e+00
3.17499996e-03, -4.07437116e-01, 9.58585367e-03, -1.08952093e+01
-3.83704596e-11, -2.84184422e-02, 1.73759177e-01, 1.71416874e+01
-3.17499996e-03, -1.04307130e-01, 1.40887707e-01, 1.57762356e+01
-3.17499996e-03, -8.96628946e-02, 1.47230923e-01, 1.20902739e+01
3.17499996e-03, -4.05541271e-01, 1.04070483e-02, -1.27913847e+01
3.17499996e-03, -8.71195123e-02, 1.48332596e-01, 7.61706305e+00
-3.17499996e-03, -8.73194262e-02, 1.48245990e-01, 1.35031719e+01
-3.17499996e-03, -7.58066624e-02, 1.53232798e-01, 1.24093018e+01
-1.89439020e-11, -3.95470321e-01, 1.47693176e-02, -1.68100052e+01
3.17499996e-03, -7.33513683e-02, 1.54296309e-01, 6.56878614e+00
3.17499996e-03, -4.13047671e-01, 8.74312222e-03, -9.49149227e+00
-3.17499996e-03, -7.36383200e-02, 1.54172018e-01, 1.38206768e+01
3.17499996e-03, -2.35490948e-02, 1.76827386e-01, -2.44939404e+01
-3.17499996e-03, -6.45272657e-02, 1.58118501e-01, 1.22311487e+01
3.17499996e-03, -6.21828772e-02, 1.59133986e-01, 6.07434750e+00
-3.17499996e-03, -6.25587106e-02, 1.58971190e-01, 1.31013460e+01
-3.83704180e-11, -4.01814550e-01, 1.20212976e-02, -1.35563974e+01
-3.17499996e-03, -5.54114543e-02, 1.62067056e-01, 1.38174067e+01
3.17499996e-03, -5.33124767e-02, 1.62976235e-01, 6.92883015e+00
3.17499996e-03, -3.92305374e-01, 1.77277327e-02, -2.04130745e+00
-3.17499996e-03, -5.37187681e-02, 1.62800252e-01, 1.35922270e+01
-3.17499996e-03, -4.66435105e-02, 1.65864915e-01, 1.34702806e+01
3.17499996e-03, -4.62282225e-02, 1.66044801e-01, 6.44813585e+00
3.17499996e-03, -3.87049258e-01, 2.00044289e-02, 1.64870751e+00
-3.17499996e-03, -4.09384780e-02, 1.68336079e-01, 1.40356197e+01
3.17499996e-03, -3.80442500e-01, 2.28661690e-02, -1.22367883e+00
3.17499996e-03, -3.73960018e-01, 2.56740898e-02, -1.38750899e+00
3.17499996e-03, -4.06201407e-02, 1.68473959e-01, 7.18102074e+00
3.17499996e-03, -3.72265041e-01, 2.64082719e-02, -3.58457953e-01
3.17499996e-03, -3.63997340e-01, 2.99894623e-02, 6.23900414e-01
3.17499996e-03, -3.62124950e-01, 3.08004878e-02, -9.00204182e-01
3.17499996e-03, -2.96078436e-02, 1.73243985e-01, 3.04283524e+00
-3.17499996e-03, -2.96693109e-02, 1.73217356e-01, 1.95469952e+01
3.17499996e-03, -3.97023886e-01, 1.40963914e-02, -1.30685511e+01
3.17499996e-03, -4.12075549e-01, 9.16420761e-03, -9.83923244e+00
-3.17499996e-03, -3.96885127e-01, 1.41564952e-02, -4.41762924e+00
3.17499996e-03, -3.33908737e-01, 4.30224501e-02, 3.24825358e+00
3.17499996e-03, -3.16786170e-01, 5.04391491e-02, 3.63388681e+00
3.17499996e-03, -3.14592630e-01, 5.13892882e-02, 9.87788963e+00
3.17499996e-03, -4.00432318e-01, 1.26200095e-02, -1.24780760e+01
3.17499996e-03, -2.90397733e-01, 6.18693940e-02, 9.21675587e+00
-3.83704596e-11, -3.14110741e-02, 1.72462910e-01, 1.44436636e+01
-3.17499996e-03, -4.00321513e-01, 1.26680126e-02, -3.78981996e+00
3.17499996e-03, -2.60013580e-01, 7.50303939e-02, 9.54602051e+00
3.17499996e-03, -2.63313744e-02, 1.76250696e-01, -1.01471291e+01
-1.67654831e-11, -3.79333347e-02, 1.69637755e-01, 1.09971066e+01
3.17499996e-03, -3.96527410e-01, 1.58989336e-02, -1.01885948e+01
