ds,AutoNHITS,AutoNHITS-lo-90,AutoNHITS-lo-80,AutoNHITS-hi-80,AutoNHITS-hi-90
32136,0.0016629174,0.0016614497,0.0020020157,0.0033086836,0.002160266
32137,-0.063699245,-0.06057103,-0.06392282,-0.061871924,-0.06640302
32138,-0.044040464,-0.04346083,-0.04331933,-0.04476653,-0.043005705
32139,0.043401886,0.044350147,0.044066697,0.043963138,0.045258507
32140,0.06885323,0.074224874,0.069343165,0.07420743,0.06753517
32141,0.00077536143,0.0018026866,0.0011357144,0.0025973804,0.0014316691
32142,-0.07237575,-0.073433414,-0.07604109,-0.07842942,-0.07418798
32143,-0.029045343,-0.028550476,-0.031345695,-0.032608345,-0.03190078
32144,0.035358846,0.035538092,0.037643388,0.03824988,0.036606893
32145,0.048057705,0.048901886,0.051204726,0.0519114,0.05339822
32146,0.006188303,0.006898284,0.0075542703,0.007184252,0.0078816265
32147,-0.06965962,-0.066324495,-0.07005248,-0.068543166,-0.0715291
32148,-0.047842912,-0.049034197,-0.04663095,-0.04679733,-0.046758607
32149,0.049610496,0.047066946,0.050189868,0.047841497,0.050114527
32150,0.06897201,0.07618741,0.0693115,0.07242833,0.069315694
32151,-0.0043365955,-0.0032846928,-0.0050834417,-0.0047117174,-0.004987076
32152,-0.044194967,-0.050048485,-0.0465976,-0.049794167,-0.046386182
32153,-0.03458664,-0.034938052,-0.035040036,-0.033952177,-0.03538491
32154,0.034863576,0.03511603,0.035736203,0.035223946,0.035497546
32155,0.08173825,0.07809855,0.08213873,0.07943027,0.08375244
32156,0.0020853486,0.0013837256,0.0033359155,0.0021425188,0.002637066
32157,-0.06863782,-0.06643898,-0.064723566,-0.07062204,-0.07141849
32158,-0.04152386,-0.043877214,-0.042826414,-0.043483403,-0.043463483
32159,0.045111977,0.043044746,0.04431629,0.045736447,0.044796146
32160,0.06436236,0.06456436,0.06782924,0.063540034,0.062839046
32161,0.001502797,0.00013171136,6.7055225e-05,3.5852194e-05,-0.0015501603
32162,-0.057540864,-0.062109515,-0.06050218,-0.05956536,-0.05960216
32163,-0.044752523,-0.045369312,-0.044507936,-0.045006193,-0.046017252
32164,0.04907921,0.04901468,0.046878718,0.04732284,0.04311311
32165,0.07038581,0.065666586,0.0609435,0.06632931,0.062239196
32166,0.0026130676,0.0015670285,0.00072907656,0.0015706718,-0.0011466295
32167,-0.0599259,-0.059676915,-0.059879743,-0.06094884,-0.06458938
32168,-0.041853666,-0.04306318,-0.04827227,-0.044495493,-0.047614343
32169,0.0480688,0.04638682,0.04501062,0.045761388,0.04757333
32170,0.06431334,0.0646249,0.06487495,0.0648046,0.06292939
32171,0.0021531992,0.0008655954,0.0027354807,0.0010180175,0.0005097315
32172,-0.059688915,-0.06343944,-0.06748289,-0.06455639,-0.059207797
32173,-0.04039844,-0.043451674,-0.04627905,-0.041390143,-0.042063728
32174,0.047751814,0.046807125,0.048886716,0.045575097,0.045267284
32175,0.061689787,0.06160803,0.06014283,0.05936636,0.060851865
32176,0.0029826015,0.0015583336,0.0005696863,0.0038431212,0.0025654733
32177,-0.061385527,-0.0616661,-0.06287721,-0.06293401,-0.06387399
32178,-0.041920252,-0.043278724,-0.044351242,-0.045499045,-0.04408539
32179,0.04673075,0.045746684,0.043275516,0.044070993,0.04545778
32180,0.06942106,0.072227515,0.07072323,0.07167421,0.07006122
32181,0.002082806,0.0027003605,0.0010560676,0.0010373741,0.0010371115
32182,-0.06829284,-0.074246906,-0.07808546,-0.07604128,-0.074233025
32183,-0.027475432,-0.030254811,-0.032674372,-0.031305835,-0.030645415
32184,0.0371608,0.039050877,0.03852795,0.03728199,0.036991447
32185,0.050100863,0.04974781,0.051302418,0.0498164,0.048735052
32186,0.0076592416,0.008542493,0.007822424,0.0088249445,0.008343123
32187,-0.07018383,-0.067680225,-0.07049757,-0.068580076,-0.068267286
32188,-0.044510163,-0.04595323,-0.04558982,-0.04892036,-0.04906711
32189,0.053377815,0.051417455,0.052627686,0.05081585,0.050051253
32190,0.0688782,0.071056545,0.07038647,0.072555356,0.07218463
32191,-0.0033375472,-0.003690794,-0.0035057366,-0.0046777353,-0.005561307
32192,-0.04210876,-0.04541813,-0.044359118,-0.04732701,-0.047807142
32193,-0.03078477,-0.032049447,-0.03247784,-0.034540758,-0.031683236
32194,0.03280233,0.034864113,0.033847824,0.03498918,0.03485389
32195,0.07639956,0.07996425,0.077474594,0.082194254,0.07816397
32196,0.0033364706,0.0030189715,0.0026825555,0.003222255,0.004436368
32197,-0.068695456,-0.07045226,-0.06771769,-0.07055681,-0.066841446
32198,-0.042180188,-0.041156523,-0.041915007,-0.04333633,-0.04384281
32199,0.046205036,0.046212524,0.04612194,0.046308264,0.045567676
32200,0.063546985,0.062333383,0.063998,0.06539258,0.06638676
32201,0.0010843873,0.0017383546,1.4409423e-05,0.00019049644,0.00063191354
32202,-0.056882434,-0.057349727,-0.059529983,-0.05817221,-0.060386926
32203,-0.039183974,-0.04215835,-0.043052748,-0.04289632,-0.044970907
32204,0.045468748,0.04859635,0.045225896,0.04671714,0.045954585
32205,0.05876904,0.06529299,0.060445372,0.06427162,0.06191998
32206,0.0026672296,0.002408171,0.0012744293,0.0019106567,0.00028665364
32207,-0.057978153,-0.05994677,-0.060201697,-0.06043171,-0.0601044
32208,-0.04427261,-0.043456364,-0.045423128,-0.04528102,-0.04475101
32209,0.046062417,0.04861722,0.046803214,0.04702609,0.04627653
32210,0.06655784,0.062616274,0.06431801,0.06474908,0.06645623
32211,0.002266284,0.00044202805,0.0018811598,0.00093887,0.00245939
32212,-0.06677452,-0.05942417,-0.06228197,-0.064609334,-0.06474611
32213,-0.04328245,-0.04282686,-0.04314373,-0.04382492,-0.042913772
32214,0.0485403,0.045647003,0.04818593,0.046977486,0.049200267
32215,0.059924036,0.060397387,0.062134176,0.060398117,0.06249766
32216,0.0027015656,0.0012763068,0.0024096817,0.002787456,0.002073124
32217,-0.056692325,-0.062172994,-0.061202474,-0.059576042,-0.061892554
32218,-0.041578874,-0.041669056,-0.043300107,-0.043382294,-0.04433039
32219,0.04421041,0.045887124,0.04469928,0.04500995,0.04355794
32220,0.07453233,0.06962701,0.07084134,0.07543267,0.06884811
32221,0.0019734092,0.0010413826,0.00016474351,0.0016501546,-0.0016953796
32222,-0.07686931,-0.0738018,-0.075901076,-0.07888462,-0.07980861
32223,-0.030996546,-0.03111726,-0.031940162,-0.032021403,-0.03552161
32224,0.037465543,0.036374137,0.035885975,0.03761755,0.0364891
32225,0.048762545,0.050297216,0.048540324,0.04847637,0.05069053
32226,0.0066466182,0.005681187,0.00657171,0.0077181906,0.006194666
32227,-0.069063246,-0.07035149,-0.06815083,-0.06907073,-0.07127774
32228,-0.04448282,-0.045141667,-0.046657108,-0.047472656,-0.045342162
32229,0.050388917,0.05058156,0.04927495,0.050203905,0.05102358
32230,0.068663284,0.07051565,0.07260043,0.07044378,0.070201814
32231,-0.0029928684,-0.0033123493,-0.0033421814,-0.0046174824,-0.0045267493
32232,-0.04515043,-0.04494615,-0.0480797,-0.04778117,-0.047789425
32233,-0.03429626,-0.032806277,-0.03504175,-0.034460515,-0.03560999
32234,0.03376329,0.03467387,0.035843343,0.035180822,0.035015196
32235,0.08082109,0.08000935,0.078666195,0.08341412,0.082402594
32236,0.0012695175,0.002842933,0.0019974485,0.00219021,0.0012024939
32237,-0.069140494,-0.06927295,-0.0634889,-0.070631124,-0.07349309
32238,-0.039154872,-0.039722852,-0.04151243,-0.041741863,-0.04123225
32239,0.045859724,0.04760638,0.044589043,0.04516703,0.046634465
32240,0.06351249,0.063071236,0.06624235,0.064871415,0.061125785
32241,0.0016263574,0.0004911497,0.0020207614,0.0009313822,0.00018379092
32242,-0.056402847,-0.056800753,-0.062237054,-0.059258208,-0.05876459
32243,-0.04333487,-0.040720087,-0.046254143,-0.045907713,-0.04363148
32244,0.047495216,0.043866366,0.049229845,0.04729075,0.04651849
32245,0.068778425,0.060075093,0.06626482,0.0656383,0.06804907
32246,0.00096331723,0.0017487854,0.0010727178,0.00069071725,0.001731582
32247,-0.061108325,-0.060546335,-0.06059517,-0.060402513,-0.06366308
32248,-0.040315427,-0.044950373,-0.04315948,-0.044162657,-0.042425748
32249,0.048569012,0.046769556,0.04530142,0.0471701,0.048220947
32250,0.0632599,0.064837776,0.06598022,0.06156692,0.06364319
32251,0.0018324219,0.0009528473,0.0019297395,0.0008241832,-0.0013340646
32252,-0.056238018,-0.059725817,-0.06287603,-0.061552554,-0.059459146
32253,-0.040428657,-0.04035083,-0.041256703,-0.044554904,-0.04408329
32254,0.04682543,0.04328508,0.046044953,0.048257627,0.043459326
32255,0.062888086,0.057372108,0.060048267,0.06380516,0.060753047
32256,0.0031369776,0.0017875731,0.0020975769,0.0030468404,-0.0002655983
32257,-0.058389783,-0.058204666,-0.05905977,-0.063742295,-0.058654748
32258,-0.0396654,-0.044323348,-0.0430571,-0.041289642,-0.04571104
32259,0.047942333,0.043714423,0.045674533,0.045219734,0.043952633
32260,0.07294086,0.07647235,0.073044196,0.068451956,0.073981844
32261,0.0028803926,0.0017035156,0.0009131804,0.002460111,-0.000392735
32262,-0.068362206,-0.075768024,-0.073813275,-0.07715311,-0.074729554
32263,-0.027153373,-0.029715583,-0.030675977,-0.032464013,-0.030770257
