unique_id,ds,y,trend
H1,2000,0.0258684629204247,2000
H1,2001,0.0263058854834445,2001
H1,2002,0.026667052520773,2002
H1,2003,0.0270520075739166,2003
H1,2004,0.0275582220982341,2004
H1,2005,0.0278288154402042,2005
H1,2006,0.0281377869687764,2006
H1,2007,0.028351889464026,2007
H1,2008,0.0283004658485077,2008
H1,2009,0.0283622813057092,2009
H1,2010,0.0282989476044513,2010
H1,2011,0.0282977238258538,2011
H1,2012,0.0282965549519616,2012
H1,2013,0.0281635747265234,2013
H1,2014,0.0280549091352458,2014
H1,2015,0.0278996584113977,2015
H1,2016,0.0279325020343307,2016
H1,2017,0.0280393103902568,2017
H1,2018,0.0282049909589502,2018
H1,2019,0.0281964714098368,2019
H1,2020,0.0283454620818638,2020
H1,2021,0.0283157021864705,2021
H1,2022,0.0283263962996757,2022
H1,2023,0.0282375165332288,2023
H1,2024,0.0281024210932021,2024
H1,2025,0.0279828289563696,2025
H1,2026,0.027948216085296,2026
H1,2027,0.0281130325284671,2027
H1,2028,0.0283439913688967,2028
H1,2029,0.0285417369571993,2029
H1,2030,0.0287352501272481,2030
H1,2031,0.0289884850027074,2031
H1,2032,0.0294190897260898,2032
H1,2033,0.0298745492954668,2033
H1,2034,0.0305233315361886,2034
H1,2035,0.0309777787002552,2035
H1,2036,0.031434643884346,2036
H1,2037,0.0318485101529448,2037
H1,2038,0.0321417012178508,2038
H1,2039,0.0324061658900096,2039
H1,2040,0.032470185529609,2040
H1,2041,0.0324627366747994,2041
H1,2042,0.0323088807451134,2042
H1,2043,0.0320063206166741,2043
H1,2044,0.0316436927303926,2044
H1,2045,0.0310268851596356,2045
H1,2046,0.0305050341328926,2046
H1,2047,0.0301193936586037,2047
H1,2048,0.0296643213617148,2048
H1,2049,0.0289010245182937,2049
H1,2050,0.0280630667838812,2050
H1,2051,0.0274234910980854,2051
H1,2052,0.0266312750606424,2052
H1,2053,0.0258909898782932,2053
H1,2054,0.0251718105997166,2054
H1,2055,0.0248032484629572,2055
H1,2056,0.0242810349682538,2056
H1,2057,0.0236993084374493,2057
H1,2058,0.0230733796747006,2058
H1,2059,0.0220781210643622,2059
H1,2060,0.0211506565602924,2060
H1,2061,0.0203951524573576,2061
H1,2062,0.0195344955656951,2062
H1,2063,0.0187271263046847,2063
H1,2064,0.0179195110126161,2064
H1,2065,0.0171500179594432,2065
H1,2066,0.0162799351914241,2066
H1,2067,0.0152090925229558,2067
H1,2068,0.0142425569335239,2068
H1,2069,0.0132980281776715,2069
H1,2070,0.0122238051251982,2070
H1,2071,0.0113278602624149,2071
H1,2072,0.0104591492183744,2072
H1,2073,0.00968422420355826,2073
H1,2074,0.008810067870662,2074
H1,2075,0.00803433179124931,2075
H1,2076,0.00721559896633249,2076
H1,2077,0.00639073881501916,2077
H1,2078,0.00558187012127734,2078
H1,2079,0.00501920619657692,2079
H1,2080,0.00443849255966186,2080
H1,2081,0.00353424121830603,2081
H1,2082,0.0026489730249118,2082
H1,2083,0.00165140111649582,2083
H1,2084,0.000818543951238666,2084
H1,2085,-1.47243140370167e-06,2085
H1,2086,-0.00092437505017802,2086
H1,2087,-0.00182184728473295,2087
H1,2088,-0.00237074159966662,2088
H1,2089,-0.00292804533490137,2089
H1,2090,-0.00336231377840674,2090
H1,2091,-0.00360517641787732,2091
H1,2092,-0.00376421510084489,2092
H1,2093,-0.00386181875599909,2093
H1,2094,-0.00422788015826822,2094
H1,2095,-0.00453280420080615,2095
H1,2096,-0.0049999293790477,2096
H1,2097,-0.00562647816299884,2097
H1,2098,-0.0062300510816226,2098
H1,2099,-0.0069289945740028,2099
H1,2100,-0.00742636731530497,2100
H1,2101,-0.00780948608025078,2101
H1,2102,-0.00812442930516698,2102
H1,2103,-0.00874171323234789,2103
H1,2104,-0.00935595978401362,2104
H1,2105,-0.00993650512369942,2105
H1,2106,-0.0106020990023055,2106
H1,2107,-0.0113489591760671,2107
H1,2108,-0.0117173957044881,2108
H1,2109,-0.0120208823091821,2109
H1,2110,-0.0123033586899026,2110
H1,2111,-0.0123628583103584,2111
H1,2112,-0.0124321263581412,2112
H1,2113,-0.0123460929590252,2113
H1,2114,-0.0121877256162938,2114
H1,2115,-0.0121417291933314,2115
H1,2116,-0.0120275212246728,2116
H1,2117,-0.0116722974489022,2117
H1,2118,-0.011391309694986,2118
H1,2119,-0.0109659918344311,2119
H1,2120,-0.0107355532742423,2120
H1,2121,-0.0104911871612837,2121
H1,2122,-0.0102107292706696,2122
H1,2123,-0.0103071439492176,2123
H1,2124,-0.0103583354543533,2124
H1,2125,-0.0103269124910783,2125
H1,2126,-0.0105279800005023,2126
H1,2127,-0.0107044851271877,2127
H1,2128,-0.0109375081978626,2128
H1,2129,-0.0109025138921631,2129
H1,2130,-0.0110115751857716,2130
H1,2131,-0.0112027531029835,2131
H1,2132,-0.0112546440492391,2132
H1,2133,-0.0110982364966486,2133
H1,2134,-0.0110802592647371,2134
H1,2135,-0.0108430003316914,2135
H1,2136,-0.010600074735258,2136
H1,2137,-0.0102807643153866,2137
H1,2138,-0.0100334128679457,2138
H1,2139,-0.00989196599254404,2139
H1,2140,-0.0097901271257576,2140
H1,2141,-0.00996965948696687,2141
H1,2142,-0.0101670158756811,2142
H1,2143,-0.0103073410040481,2143
H1,2144,-0.0105869417977913,2144
H1,2145,-0.0111560792316167,2145
H1,2146,-0.0116275798251671,2146
H1,2147,-0.0119858042572284,2147
H1,2148,-0.0122716112997287,2148
H1,2149,-0.0123580412269722,2149
H1,2150,-0.0124722493831395,2150
H1,2151,-0.0122538627865652,2151
H1,2152,-0.0120833582361172,2152
H1,2153,-0.0120886891193772,2153
H1,2154,-0.0116732666870451,2154
H1,2155,-0.0110538363523855,2155
H1,2156,-0.0103206393094274,2156
H1,2157,-0.00981269930791137,2157
H1,2158,-0.00920422327982593,2158
